종목코드,종목명,보유량,결제잔고,전일,금일,매입가,현재가,평가손익,수익률,매입금액,평가금액,대출일
'000670,영풍,"13","13","","","63,500","60,100","-45,991","-5.57%","825,500","779,509",
'010170,대한광통신,"308","308","","","3,645","3,450","-62,715","-5.59%","1,122,880","1,060,165",
'011790,SKC,"10","10","","","116,800","108,200","-88,494","-7.58%","1,168,000","1,079,506",
'041190,우리기술투자,"46","46","","","9,952","7,900","-95,260","-20.81%","457,824","362,564",
'082270,젬백스,"43","43","","","34,132","41,800","325,626","22.19%","1,467,700","1,793,326",
'166090,하나머티리얼즈,"14","14","","","61,700","59,100","-38,294","-4.43%","863,800","825,506",
'204270,제이앤티씨,"25","25","","","25,150","21,550","-91,247","-14.51%","628,750","537,503",
'229200,KODEX 코스닥150,"89","89","","","20,825","18,955","-166,950","-9.01%","1,853,425","1,686,475",
'281740,레이크머티리얼즈,"84","84","","","2,654","23,950","1,784,492","800.38%","222,955","2,007,447",
'395160,KODEX AI반도체,"55","55","","","23,540","24,540","54,610","4.22%","1,294,700","1,349,310",
